gid	disp
Zm00001d006094	0
Zm00001d006096	0
Zm00001d006100	0
Zm00001d006103	0
Zm00001d006107	0
Zm00001d006108	0
Zm00001d006109	0
Zm00001d006118	0
Zm00001d006119	0
Zm00001d006124	0
Zm00001d006125	0
Zm00001d006126	0
Zm00001d006127	0
Zm00001d006128	0
Zm00001d006130	0
Zm00001d006131	0
Zm00001d006133	0
Zm00001d006148	0
Zm00001d006153	0
Zm00001d006158	0
Zm00001d006159	0
Zm00001d006160	0
Zm00001d006162	0
Zm00001d006166	0
Zm00001d006167	0
Zm00001d006168	0
Zm00001d006176	0
Zm00001d006177	0
Zm00001d006179	0
Zm00001d006183	0
Zm00001d006185	0
Zm00001d006192	0
Zm00001d006194	0
Zm00001d006210	0
Zm00001d006211	0
Zm00001d006212	0
Zm00001d006213	0
Zm00001d006214	0
Zm00001d006217	0
Zm00001d006220	0
Zm00001d006221	0
Zm00001d006227	0
Zm00001d006256	0
Zm00001d006267	0
Zm00001d006269	0
Zm00001d006270	0
Zm00001d006274	0
Zm00001d006286	0
Zm00001d006287	0
Zm00001d006295	0
Zm00001d006309	0
Zm00001d006310	0
Zm00001d006311	0
Zm00001d006312	0
Zm00001d006322	0
Zm00001d006324	0
Zm00001d006328	0
Zm00001d006329	0
Zm00001d006333	0
Zm00001d006337	0
Zm00001d006342	0
Zm00001d006343	0
Zm00001d006344	0
Zm00001d006345	0
Zm00001d006347	0
Zm00001d006348	0
Zm00001d006350	0
Zm00001d006355	0
Zm00001d006357	0
Zm00001d006360	0
Zm00001d006361	0
Zm00001d006368	0
Zm00001d006370	0
Zm00001d006374	0
Zm00001d006377	0
Zm00001d006384	0
Zm00001d006388	0
Zm00001d006389	0
Zm00001d006401	0
Zm00001d006408	0
Zm00001d006409	0
Zm00001d006420	0
Zm00001d006421	0
Zm00001d006422	0
Zm00001d006428	0
Zm00001d006433	0
Zm00001d006438	0
Zm00001d006439	0
Zm00001d006440	0
Zm00001d006446	0
Zm00001d006449	0
Zm00001d006454	0
Zm00001d006455	0
Zm00001d006459	0
Zm00001d006460	0
Zm00001d006461	0
Zm00001d006467	0
Zm00001d006470	0
Zm00001d006474	0
Zm00001d006479	0
Zm00001d006480	0
Zm00001d006481	0
Zm00001d006493	0
Zm00001d006494	0
Zm00001d006496	0
Zm00001d006497	0
Zm00001d006499	0
Zm00001d006502	0
Zm00001d006507	0
Zm00001d006509	0
Zm00001d006510	0
Zm00001d006511	0
Zm00001d006512	0
Zm00001d006533	0
Zm00001d006534	0
Zm00001d006547	0
Zm00001d006548	0
Zm00001d006551	0
Zm00001d006552	0
Zm00001d006555	0
Zm00001d006561	0
Zm00001d006580	0
Zm00001d006581	0
Zm00001d006582	0
Zm00001d006593	0
Zm00001d006594	0
Zm00001d006595	0
Zm00001d006597	0
Zm00001d006601	0
Zm00001d006602	0
Zm00001d006604	0
Zm00001d006607	0
Zm00001d006610	0
Zm00001d006613	0
Zm00001d006621	0
Zm00001d006623	0
Zm00001d006628	0
Zm00001d006629	0
Zm00001d006630	0
Zm00001d006639	0
Zm00001d006640	0
Zm00001d006644	0
Zm00001d006645	0
Zm00001d006651	0
Zm00001d006657	0
Zm00001d006658	0
Zm00001d006667	0
Zm00001d006676	0
Zm00001d006677	0
Zm00001d006678	0
Zm00001d006679	0
Zm00001d006680	0
Zm00001d006681	0
Zm00001d006699	0
Zm00001d006700	0
Zm00001d006701	0
Zm00001d006702	0
Zm00001d006704	0
Zm00001d006705	0
Zm00001d006708	0
Zm00001d006710	0
Zm00001d006711	0
Zm00001d006714	0
Zm00001d006717	0
Zm00001d006722	0
Zm00001d006725	0
Zm00001d006731	0
Zm00001d006737	0
Zm00001d006749	0
Zm00001d006750	0
Zm00001d006751	0
Zm00001d006752	0
Zm00001d006753	0
Zm00001d006758	0
Zm00001d006759	0
Zm00001d006760	0
Zm00001d006768	0
Zm00001d006769	0
Zm00001d006771	0
Zm00001d006780	0
Zm00001d006788	0
Zm00001d006789	0
